removals,lcc_frac,num_components,efficiency,strategy
80,0.9636363636363636,5.0,0.33182811072719354,Ghost
81,0.9636363636363636,5.0,0.33182811072719354,Ghost
82,0.9636363636363636,5.0,0.33182811072719354,Ghost
83,0.9636363636363636,5.0,0.33182811072719354,Ghost
84,0.9636363636363636,5.0,0.33174470789149707,Ghost
85,0.9636363636363636,5.0,0.3308872473092655,Ghost
86,0.9636363636363636,5.0,0.33074824258310476,Ghost
87,0.9636363636363636,5.0,0.33074824258310476,Ghost
88,0.9636363636363636,5.0,0.33074824258310476,Ghost
89,0.9636363636363636,5.0,0.3297057071368986,Ghost
90,0.9636363636363636,5.0,0.32747487986020024,Ghost
91,0.9636363636363636,5.0,0.3271273680447983,Ghost
92,0.9636363636363636,5.0,0.3259347074943391,Ghost
93,0.9636363636363636,5.0,0.3259347074943391,Ghost
94,0.9636363636363636,5.0,0.3256261170022624,Ghost
95,0.9636363636363636,5.0,0.3256261170022624,Ghost
96,0.9636363636363636,5.0,0.3233261845188417,Ghost
97,0.9545454545454546,6.0,0.3176964931093342,Ghost
98,0.9545454545454546,6.0,0.3176964931093342,Ghost
99,0.9545454545454546,6.0,0.3176964931093342,Ghost
100,0.9545454545454546,6.0,0.3175852893284056,Ghost
101,0.9545454545454546,6.0,0.31661424202708416,Ghost
102,0.9545454545454546,6.0,0.31650303824615555,Ghost
103,0.9545454545454546,6.0,0.30919529502097753,Ghost
104,0.9545454545454546,6.0,0.30443180163363376,Ghost
105,0.9454545454545454,7.0,0.30017461641314613,Ghost
106,0.9454545454545454,7.0,0.2912812926115693,Ghost
107,0.9454545454545454,7.0,0.2912812926115693,Ghost
108,0.9454545454545454,7.0,0.2912812926115693,Ghost
109,0.9454545454545454,7.0,0.2912812926115693,Ghost
110,0.9454545454545454,7.0,0.2912812926115693,Ghost
111,0.9454545454545454,7.0,0.2912812926115693,Ghost
112,0.9454545454545454,7.0,0.2912812926115693,Ghost
113,0.9454545454545454,7.0,0.2912812926115693,Ghost
114,0.9454545454545454,7.0,0.2905365582429832,Ghost
115,0.9454545454545454,7.0,0.2905365582429832,Ghost
116,0.9454545454545454,7.0,0.2904114539894386,Ghost
117,0.9454545454545454,7.0,0.2904114539894386,Ghost
118,0.9454545454545454,7.0,0.2904114539894386,Ghost
119,0.9454545454545454,7.0,0.2904114539894386,Ghost
120,0.9454545454545454,7.0,0.29002660947615344,Ghost
121,0.9272727272727272,8.0,0.28170611753180885,Ghost
122,0.9272727272727272,8.0,0.280568204383887,Ghost
123,0.9181818181818182,9.0,0.2766493963825104,Ghost
124,0.9181818181818182,9.0,0.2766493963825104,Ghost
125,0.9181818181818182,9.0,0.2766493963825104,Ghost
126,0.9181818181818182,9.0,0.2766493963825104,Ghost
127,0.9181818181818182,9.0,0.2766493963825104,Ghost
128,0.9181818181818182,9.0,0.2766493963825104,Ghost
129,0.9181818181818182,9.0,0.27602030070754335,Ghost
130,0.9181818181818182,9.0,0.27585349503615064,Ghost
131,0.9181818181818182,9.0,0.27472199656520147,Ghost
132,0.9181818181818182,9.0,0.27472199656520147,Ghost
133,0.9090909090909091,10.0,0.2698792704839423,Ghost
134,0.9090909090909091,10.0,0.2698792704839423,Ghost
135,0.9090909090909091,10.0,0.26971246481254957,Ghost
136,0.9090909090909091,10.0,0.26971246481254957,Ghost
137,0.9090909090909091,10.0,0.26971246481254957,Ghost
138,0.9090909090909091,10.0,0.26971246481254957,Ghost
139,0.9090909090909091,10.0,0.269095283828396,Ghost
140,0.9090909090909091,10.0,0.26886334451388794,Ghost
141,0.9090909090909091,10.0,0.26617492691721223,Ghost
142,0.7454545454545455,11.0,0.22097998331943075,Ghost
143,0.7454545454545455,11.0,0.22077703641923613,Ghost
144,0.7454545454545455,11.0,0.2206936335835398,Ghost
145,0.7454545454545455,11.0,0.22046010564358995,Ghost
146,0.7454545454545455,11.0,0.21953711426188285,Ghost
147,0.7454545454545455,12.0,0.21723241590213838,Ghost
0,1.0,1.0,0.41195718654434366,Random
1,0.9871818181818179,1.41,0.4093789783667499,Random
2,0.9720909090909092,2.03,0.4044807026652911,Random
3,0.9617272727272725,2.17,0.4035461418859107,Random
4,0.9493636363636365,2.5,0.4013414074644722,Random
5,0.934909090909091,3.09,0.3973157036746571,Random
6,0.9190909090909094,3.8,0.39161052654198625,Random
7,0.9051818181818182,4.31,0.38759341600720953,Random
8,0.8957272727272726,4.37,0.3872008440340149,Random
9,0.8837272727272729,4.66,0.38507688826028724,Random
10,0.8707272727272727,5.07,0.38148953342956654,Random
11,0.8590000000000002,5.36,0.37910877973126084,Random
12,0.8488181818181818,5.45,0.3783667808802771,Random
13,0.8247272727272726,6.98,0.3648941134157255,Random
14,0.8102727272727275,7.53,0.36022005882764946,Random
15,0.7973636363636364,7.94,0.35636908316893817,Random
16,0.782909090909091,8.49,0.3514227329840098,Random
17,0.7687272727272727,9.02,0.34650401927174485,Random
18,0.7553636363636363,9.48,0.34240675930351494,Random
19,0.7422727272727273,9.88,0.338517263600611,Random
20,0.7291818181818183,10.27,0.3343337861403522,Random
21,0.7176363636363635,10.53,0.3314169696564456,Random
22,0.705909090909091,10.84,0.3285029689340113,Random
23,0.6915454545454546,11.31,0.3231601897464027,Random
24,0.6736363636363636,12.03,0.3148793325082012,Random
25,0.6619090909090909,12.31,0.31176849295273945,Random
26,0.6492727272727273,12.67,0.3073674869546225,Random
27,0.6343636363636364,13.23,0.3020945745817183,Random
28,0.618090909090909,13.96,0.29428002657451485,Random
29,0.6049090909090908,14.4,0.2893495309131859,Random
30,0.5923636363636364,14.68,0.28619350010045885,Random
31,0.5803636363636362,14.96,0.2818738298738254,Random
32,0.5609090909090909,15.97,0.27095422302564665,Random
33,0.5502727272727274,16.14,0.26862896554155413,Random
34,0.5372727272727272,16.54,0.2645458256752936,Random
35,0.5235454545454545,16.96,0.25944225082224515,Random
36,0.5086363636363637,17.56,0.2521582996891162,Random
37,0.4977272727272728,17.74,0.24867452918508318,Random
38,0.4854545454545454,18.0,0.2442190907792383,Random
39,0.4758181818181817,18.08,0.24247710229631284,Random
40,0.461090909090909,18.6,0.2371213316244328,Random
41,0.4525454545454544,18.55,0.23600162045494122,Random
42,0.44299999999999995,18.58,0.2340162701896644,Random
43,0.43354545454545457,18.6,0.2317453012714178,Random
44,0.4214545454545454,18.99,0.22584892514892296,Random
45,0.40236363636363637,19.81,0.21684952495421075,Random
46,0.38909090909090904,20.15,0.21121761621315074,Random
47,0.37990909090909086,20.23,0.20898140223831393,Random
48,0.37054545454545446,20.29,0.20517667019213803,Random
49,0.3624545454545455,20.18,0.2035008587041374,Random
50,0.3539090909090909,20.11,0.201007680925478,Random
51,0.3382727272727272,20.61,0.19281854109265037,Random
52,0.32809090909090904,20.65,0.18988845677412003,Random
53,0.3208181818181818,20.51,0.18920861678004627,Random
54,0.3094545454545454,20.7,0.18425146619253868,Random
55,0.29927272727272725,20.79,0.1801457404735193,Random
