app_id,game,genres,release_year,release_date,metacritic_score,steam_positive_review_pct,steam_total_reviews,total_achievements,easiest_achievement_pct,hardest_achievement_pct,median_achievement_pct,wall_achievement,wall_drop_pct,wall_before_pct,wall_after_pct,wall_position_ratio,half_players_gone_ratio,ten_pct_at
1426210,It Takes Two,"Action, Adventure",2021,"Mar 25, 2021",89,95.4,257086,20,50.2,3.1,10.0,Achievement_GOSCC_7,11.2,44.3,33.1,0.1,0.05,12
460950,Katana ZERO,"Action, Indie",2019,"18 Apr, 2019",83,98.0,74588,22,60.9,2.8,18.7,ACH_BEAT_GAME,10.9,50.4,39.5,0.091,0.136,18
242760,The Forest,"Action, Adventure, Indie, Simulation",2018,"Apr 30, 2018",83,95.5,666676,45,83.6,1.6,15.2,ACH_GROUP_SLEEP,15.0,72.1,57.1,0.022,0.089,27
1623730,Palworld,"Action, Adventure, Indie, RPG, Early Access",2024,"18 Jan, 2024",,94.3,418241,57,91.2,0.5,9.2,Pal_Achievement_9,18.7,59.5,40.8,0.07,0.088,28
2379780,Balatro,"Casual, Indie, Strategy",2024,"Feb 20, 2024",90,97.9,187915,31,90.3,0.7,22.5,BAL_04,10.2,44.2,34.0,0.355,0.29,24
594650,Hunt: Showdown,Action,2019,"Aug 27, 2019",81,73.9,269243,36,68.2,2.0,19.0,HUNTACH00STEAM,12.6,56.6,44.0,0.083,0.111,27
1238810,PowerWash Simulator,Action,2020,"Oct 22, 2020",,70.7,263816,21,69.3,0.9,14.4,Achievement_GOSCC_20,17.8,69.3,51.5,0.0,0.143,12
1144200,Ready or Not,"Action, Adventure, Indie",2023,"Dec 13, 2023",,77.4,321685,66,93.4,0.0,3.2,ACH_FIRST_ARREST,58.8,93.4,34.6,0.0,0.015,24
250900,The Binding of Isaac: Rebirth,Action,2014,"Nov 4, 2014",,97.2,387176,641,86.2,2.4,18.4,13,10.4,86.2,75.8,0.0,0.072,507
632360,Risk of Rain 2,"Action, Indie",2020,"Aug 11, 2020",85,93.8,344306,171,90.2,1.0,14.9,Discover5Equipment,5.3,72.6,67.3,0.041,0.17,116
1238860,BattleBit Remastered,Action,2020,"Jun 11, 2020",,84.9,78210,67,48.3,1.0,5.2,Achievement_GOSCC_12,5.1,40.1,35.0,0.045,0.0,26
1794680,Vampire Survivors,"Action, Casual, Indie, RPG",2022,"Oct 20, 2022",86,98.4,260874,243,97.9,1.1,23.9,EvolveGarlic,5.1,67.6,62.5,0.193,0.267,186
548430,Deep Rock Galactic,Action,2020,"May 13, 2020",85,97.2,373154,69,92.2,1.0,13.0,MINER,34.5,92.2,57.7,0.0,0.058,41
504230,Celeste,"Action, Adventure, Indie",2018,"Jan 25, 2018",88,97.4,138629,32,70.6,6.4,19.0,CH2,11.1,61.6,50.5,0.062,0.125,28
1172620,Sea of Thieves,"Action, Adventure",2020,"Jun 3, 2020",,88.8,367471,290,93.8,0.0,4.0,12,7.2,91.9,84.7,0.003,0.052,99
1817070,Marvel's Spider-Man Remastered,"Action, Adventure, Casual",2022,"Aug 12, 2022",,96.0,130455,78,90.0,5.7,32.2,knockingdownkingpin,14.6,90.0,75.4,0.0,0.231,74
1817190,Marvel's Spider-Man: Miles Morales,"Action, Adventure",2022,"Nov 18, 2022",,93.2,51739,50,93.0,6.9,34.4,agiftfrompete,8.3,90.0,81.7,0.02,0.3,49
1240440,Halo Infinite,"Action, Free To Play",2021,"Nov 15, 2021",,69.4,179840,144,63.4,0.4,6.8,NEW_ACHIEVEMENT_3_22,11.4,63.4,52.0,0.0,0.014,48
397540,Borderlands 3,"Action, RPG",2020,"Mar 13, 2020",81,80.9,162056,81,94.2,1.6,13.0,Achievement_31,11.2,92.4,81.2,0.012,0.111,48
261550,Mount & Blade II: Bannerlord,"Action, Indie, RPG, Simulation, Strategy",2022,"Oct 25, 2022",77,87.7,286906,50,53.0,0.2,5.6,Lawbringer,15.0,53.0,38.0,0.0,0.02,23
289070,Civilization VI,Strategy,2016,"Oct 20, 2016",88,86.0,371657,320,74.5,0.2,1.6,NEW_ACHIEVEMENT_4_15,11.0,60.7,49.7,0.016,0.019,44
394360,Hearts of Iron IV,"Simulation, Strategy",2016,"Jun 6, 2016",83,90.3,360883,266,20.1,0.1,1.4,transport_tycoon,5.9,17.2,11.3,0.008,0.0,7
281990,Stellaris,"Simulation, Strategy",2016,"May 9, 2016",78,86.2,192150,211,37.6,0.0,2.5,achievement_rare,5.2,29.0,23.8,0.014,0.0,37
236850,Europa Universalis IV,"Simulation, Strategy",2013,"Aug 13, 2013",87,87.6,135961,373,28.5,0.3,1.6,achievement_that_is_mine,3.2,26.7,23.5,0.008,0.0,38
1158310,Crusader Kings III,"RPG, Simulation, Strategy",2020,"1 Sep, 2020",91,90.5,137838,188,59.6,0.2,1.9,until_death_do_us_part_achievement,14.5,59.6,45.1,0.0,0.005,33
813780,Age of Empires II: DE,Strategy,2019,"Nov 14, 2019",84,94.9,175908,357,53.5,0.1,1.6,ACHIEVEMENT_PREPARE_FOR_BOAR,4.1,49.9,45.8,0.014,0.014,71
1466860,Age of Empires IV,Strategy,2021,"Oct 28, 2021",81,85.9,91270,165,94.5,0.0,4.1,A002_,29.0,94.0,65.0,0.006,0.03,47
1332010,Stray,"Adventure, Indie",2022,"19 Jul, 2022",82,97.2,169883,24,93.2,2.5,20.8,ACH_001,19.9,65.5,45.6,0.208,0.25,15
2358720,Black Myth: Wukong,"Action, Adventure, RPG",2024,"Aug 19, 2024",,96.5,1197328,81,97.7,12.6,50.3,81001,12.6,97.7,85.1,0.0,0.519,81
427520,Factorio,"Casual, Indie, Simulation, Strategy",2020,"Aug 14, 2020",90,97.5,227301,88,64.5,0.3,8.4,circuit-veteran-1,8.1,47.1,39.0,0.057,0.057,39
728880,Overcooked! 2,"Action, Casual, Indie",2018,"Aug 7, 2018",81,90.5,80581,54,86.4,0.3,3.0,Complete world 1 with 3 stars,21.2,57.5,36.3,0.056,0.074,19
1293830,Forza Horizon 4,Racing,2021,"9 Mar, 2021",,90.8,300761,178,92.6,1.2,3.7,Welcome to Britain,16.9,92.6,75.7,0.0,0.045,45
524220,NieR:Automata,"Action, RPG",2017,"17 Mar, 2017",84,87.3,149573,47,80.9,5.2,22.2,ACH_EMILE_SHOP,8.8,34.4,25.6,0.319,0.128,38
812140,Assassin's Creed Odyssey,"Action, Adventure, RPG",2018,"5 Oct, 2018",,88.8,182646,93,91.4,2.9,16.9,014,8.8,83.4,74.6,0.011,0.161,76
2208920,Lies of P,"Action, Adventure, RPG",2022,"6 Dec, 2022",,69.7,41274,92,57.0,0.6,3.8,ACValhalla_Ach_1,18.0,57.0,39.0,0.0,0.011,23
1238840,Sifu,"Action, Massively Multiplayer",2020,"Jun 11, 2020",,86.4,215376,50,53.3,0.7,6.7,Achievement_GOSCC_4,9.5,47.1,37.6,0.04,0.04,22
1196590,God of War,Action,2021,"May 6, 2021",83,95.6,142904,56,86.5,3.6,16.1,30,10.4,30.3,19.9,0.446,0.357,38
1593500,God of War Ragnarok,"Action, Adventure, RPG",2022,"14 Jan, 2022",93,96.0,177096,37,88.2,6.3,31.7,ACHIEVEMENT_14,12.3,44.3,32.0,0.432,0.324,33
236430,Dark Souls II: Scholar,"Action, RPG",2014,"Apr 25, 2014",91,88.3,45339,38,94.7,3.8,37.4,ACHIEVEMENT_37,24.6,93.3,68.7,0.026,0.184,32
211420,Dark Souls,"Action, RPG",2012,"Aug 24, 2012",85,91.5,78433,41,72.6,3.2,15.3,ACH_28,19.0,63.6,44.6,0.049,0.073,26
570940,DARK SOULS: REMASTERED,Action,2018,"May 23, 2018",84,92.4,147550,41,96.6,7.8,29.8,ACHIEVEMENT_FRPG_ACHIEVEMENTS_28,23.6,91.7,68.1,0.049,0.195,36
1687950,Persona 5 Royal,RPG,2022,"Oct 20, 2022",95,96.5,125704,53,80.5,8.3,38.8,TrophyTitle_11_fiber_Steam,10.5,80.5,70.0,0.0,0.283,52
1113560,Persona 4 Golden,"Action, Adventure, RPG",2021,"Apr 23, 2021",,88.2,27460,47,80.3,3.3,21.2,ACHIEVEMENT_0010,16.5,80.3,63.8,0.0,0.149,36
1382330,Persona 3 Reload,"Action, Adventure",2021,"Feb 22, 2021",76,87.6,17614,47,90.9,3.8,21.4,NEW_ACHIEVEMENT_1_12,27.1,90.9,63.8,0.0,0.043,41
208580,Dishonored,RPG,2012,"Aug 23, 2012",,93.5,25443,57,68.7,1.6,14.6,achievement_3,15.5,68.7,53.2,0.0,0.035,38
403640,Dishonored 2,Action,2016,"11 Nov, 2016",86,89.6,65333,50,88.2,2.8,18.0,ACH_2,16.6,78.1,61.5,0.02,0.12,35
275850,No Man's Sky,"Action, Adventure",2016,"Aug 12, 2016",61,84.7,402495,27,73.2,0.8,28.8,CRADLE,12.0,73.2,61.2,0.0,0.222,21
1817230,Horizon Zero Dawn Remastered,Action,2023,"Jan 25, 2023",90,97.1,35099,71,78.0,0.6,9.7,ACH_051,7.2,71.1,63.9,0.028,0.127,35
379430,Kingdom Come: Deliverance,"Action, Adventure, RPG",2018,"Feb 13, 2018",76,84.3,178674,82,79.3,0.9,8.1,BlacksmithsSon,16.7,79.3,62.6,0.0,0.049,37
1771300,Marvel Rivals,"Action, Adventure, RPG",2025,"Feb 4, 2025",89,94.1,176871,83,82.9,0.9,9.3,41,14.7,82.9,68.2,0.0,0.12,39
